"","","xout"
"232",1.77788524590164,32080
"233",1.76608196721311,32090
"234",1.76161780104712,32100
"235",1.76816230366492,32110
"236",1.77470680628272,32120
"237",1.78125130890052,32130
"238",1.78779581151832,32140
"239",1.79434031413613,32150
"240",1.80088481675393,32160
"241",1.80742931937173,32170
"242",1.81397382198953,32180
"243",1.82051832460733,32190
"244",1.82706282722513,32200
"245",1.83360732984293,32210
"246",1.84015183246073,32220
"247",1.84669633507853,32230
"248",1.85324083769633,32240
"249",1.85978534031414,32250
"250",1.86632984293194,32260
"251",1.87287434554974,32270
"252",1.87941884816754,32280
"253",1.89404651162791,32290
"254",1.92753488372093,32300
"255",1.96102325581395,32310
"256",1.99451162790698,32320
"257",2.028,32330
"258",2.04114285714286,32340
"259",2.05428571428571,32350
"260",2.06742857142857,32360
"261",2.08057142857143,32370
"262",2.09371428571429,32380
"263",2.10685714285714,32390
"264",2.12,32400
"265",2.18935483870968,32410
"266",2.25870967741935,32420
"267",2.32806451612903,32430
"268",2.35853846153846,32440
"269",2.38469230769231,32450
"270",2.38854545454545,32460
"271",2.34036363636364,32470
"272",2.29988888888889,32480
"273",2.3348,32490
"274",2.3938,32500
"275",2.4528,32510
"276",2.49832258064516,32520
"277",2.48993548387097,32530
"278",2.48154838709677,32540
"279",2.4726,32550
"280",2.4586,32560
"281",2.4446,32570
"282",2.4306,32580
"283",2.37807692307692,32590
"284",2.29987179487179,32600
"285",2.22166666666667,32610
"286",2.14346153846154,32620
"287",2.18841935483871,32630
"288",2.28616129032258,32640
"289",2.38390322580645,32650
"290",2.41370967741935,32660
"291",2.39822580645161,32670
"292",2.38274193548387,32680
"293",2.32166666666667,32690
"294",2.215,32700
"295",2.10833333333333,32710
"296",2.11725806451613,32720
"297",2.24177419354839,32730
"298",2.36629032258065,32740
"299",2.34677777777778,32750
"300",2.23451282051282,32760
"301",2.24553846153846,32770
"302",2.2565641025641,32780
"303",2.26758974358974,32790
"304",2.3078064516129,32800
"305",2.36748387096774,32810
"306",2.42716129032258,32820
"307",2.43546153846154,32830
"308",2.39238461538462,32840
"309",2.34930769230769,32850
"310",2.35458064516129,32860
"311",2.36522580645161,32870
"312",2.37587096774194,32880
"313",2.37053333333333,32890
"314",2.3612,32900
"315",2.35186666666667,32910
"316",2.35903225806452,32920
"317",2.37032258064516,32930
"318",2.38161290322581,32940
"319",2.4228,32950
"320",2.4768,32960
