UCIAMS_Number,Original_sample_name,Species,Taxon,d15N,d13C,Calibrated_mean_age,Sigma,Cal_median_age,X14C_age_BP,X14C_age_error,pach.d18O_mean,pach.d18O_median,P3_L
216770,HC 142779 Sylvilagus (juv) Pit A  ,S. bachmani,Sylvilagus ,6.9,-22.1,40372,607,40377,35740,570,2.284909091,2.316727273,2.53
191095,P23-5233 Dep1 B-2 L2 sylvilagus,S. audubonii,Sylvilagus ,8.4,-21.3,40379,640,40385,35750,610,2.329454545,2.367636364,2.78
191100,P23-30238 Dep1 B-1 L2 sylvilagus,S. audubonii,Sylvilagus ,7.3,-21.5,40410,628,40416,35780,600,2.072454545,2.124818182,2.28
223527,V 2751 Sylvilagus ,Sylvilagus sp,Sylvilagus ,4.5,-21.3,40513,487,40515,35870,450,2.227727273,2.235181818,
198202,P23 20172 S. beecheyi Dep. 1 B-1 L8,Otospermophilus,Otospermophilus,4.4,-21.4,40530,581,40539,35900,560,2.251318182,2.233727273,
191098,P23-25476 Dep1 A-2 L4 sylvilagus,S. audubonii,Sylvilagus ,7.4,-21.4,40662,623,40678,36050,630,2.233032258,2.231818182,3.13
198204,P23 30796 S. beecheyi Dep. 1 B-2 L4,Otospermophilus,Otospermophilus,3.8,-21.1,40731,846,40752,36160,910,2.238818182,2.194571429,
223506,P23-39812 Sylvilagus Box 13 B-2 L3,Sylvilagus sp,Sylvilagus ,8.2,-21.2,40875,468,40891,36260,470,1.867040816,1.816102041,
216764,HC 142764 Sylvilagus Pit 16  ,S. audubonii,Sylvilagus ,6.9,-21,40932,582,40955,36350,620,1.437609756,1.471270833,2.83
198205,P23 33227 S. beecheyi Dep. 1 B-2 L3,Otospermophilus,Otospermophilus,7,-20.7,41133,552,41162,36580,610,1.595916667,1.536708333,
216763,HC 142763 Sylvilagus Pit 16  ,S. audubonii,Sylvilagus ,7.6,-21.4,41382,563,41415,36880,660,1.896045643,1.95026971,2.71
223517,P23-40638 Sylvilagus Box 14 ,Sylvilagus sp,Sylvilagus ,7.2,-21.4,41406,434,41434,36870,500,1.935481328,1.981489627,
223585,P23-35541 Sylvilagus Box 13 B-2 L4,Sylvilagus sp,Sylvilagus ,5.2,-21.4,43079,376,43041,39220,460,2.047,2.097,
223497,P23-36693 Sylvilagus Box 13 B-2 L3,Sylvilagus sp,Sylvilagus ,7,-22,43188,549,43123,39240,670,2.305666667,2.139857143,
198294,P23 28902 Sylvilagus Dep. 1 A-1 L7 .28mgC,S. bachmani,Sylvilagus ,5.5,-20.9,43589,676,43526,39700,810,2.03045679,2.108303704,2.14
223496,P23-36572 Spermophilus  Box 13 A-3 L3,Otospermophilus,Otospermophilus,6.2,-20.9,44279,709,44244,40640,800,1.519314815,1.504407407,
216768,HC 142773 Sylvilagus Pit A  ,S. audubonii,Sylvilagus ,7.8,-21.8,44724,1050,44627,41000,1100,1.894560976,2.022625,2.61
216784,P23 36332 Sylvilagus Dep. 7B B-2 L3,Sylvilagus sp,Sylvilagus ,5.6,-21.7,45239,1212,45104,41500,1200,1.72612766,1.477915789,
216783,P23 35774 Lepus Dep. 7B B-2 L3,Leporidae,Sylvilagus ,4.9,-21.6,46371,1395,46221,42600,1400,2.097107143,2.289881356,
216769,HC 142778 Sylvilagus Pit A  ,S. audubonii,Sylvilagus ,5.2,-21.3,46632,1369,46501,42900,1400,1.810503401,1.574184466,2.84
216762,HC 130857 Spermophilus Bliss 29  ,Otospermophilus,Otospermophilus,4.5,-21.2,47258,1363,47214,43700,1600,1.973174757,1.900126214,
223502,P23-36989 Sylvilagus Box 13 B-2 L4,Sylvilagus sp,Sylvilagus ,7.2,-21.4,47495,1147,47439,44000,1200,1.92484466,1.881615385,
217079,P23 36331 Sylvilagus Dep. 7B B-2 L3 .23mgC,Sylvilagus sp,Sylvilagus ,6.6,-21.4,48255,1178,48419,46200,2400,1.753825243,1.587737864,
191101,P23-31269 Dep1 B-4 L3 sylvilagus,S. audubonii,Sylvilagus ,8.1,-20.5,48345,1123,48507,46200,2200,1.629576923,1.647941176,2.85
223503,P23-37612 Sylvilagus Box 13 B-2 L4,Sylvilagus sp,Sylvilagus ,5.7,-21.4,48653,938,48804,46200,1600,1.877841629,1.478346154,
223514,P23-40635,Sylvilagus sp,Sylvilagus ,6.2,-21.6,,,,>51700,,,,
191242,P23-31031,S. audubonii,Sylvilagus ,4.3,-21.1,,,,>50800,,,,
191104,P23-31036,S. bachmani,Sylvilagus ,7.3,-22.3,,,,>49900,,,,
191105,P23-31056,S. audubonii,Sylvilagus ,7.3,-21.7,,,,>49900,,,,
223523,P23-40647,S. audubonii,Sylvilagus ,9.6,-21,,,,>49900,,,,
191103,P23-31033,S. audubonii,Sylvilagus ,8.5,-21.7,,,,>47800,,,,
,P23-31115,Otospermophilus,Otospermophilus,7.1,-19,,,,,,,,
216785,P23-36336,Sylvilagus sp,Sylvilagus ,5.3,-22.1,,,,,,,,
223518,P23-40639,Sylvilagus sp,Sylvilagus ,6.9,-21.7,,,,,,,,
198296,P23-31118,Otospermophilus,Otospermophilus,3.2,-19.3,,,,,,,,
223504,P23-37651,Otospermophilus,Otospermophilus,6.8,-20.1,,,,,,,,
