Museum_Number	UCM_Number	Canister	Class	Order	Family	Subfamily	Genus	Species	Element_original	Notes	Last ID revision
LACMP23-28898	RLB-16-16	A1/L7	Mammalia	Rodentia	Sciuridae		Otospermophilus	beecheyi	lt posterior dentary frag	w/ m2 and m3	
LACMP23-28899	RLB-16-17	A1/L7	Mammalia	Rodentia	Sciuridae		Otospermophilus	beecheyi	juv. rt maxillary frag	w/ dP4 and dM1	
LACMP23-28900	RLB-16-18	A1/L7	Mammalia	Lagomorpha	Leporidae		cf. Sylvilagus		lt anterior dentary frag w/ incisor 		
LACMP23-28901	RLB-16-19	A1/L7	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp.	dentary frag w/ three teeth		
LACMP23-28902	RLB-16-20	A1/L7	Mammalia	Lagomorpha	Leporidae		Sylvilagus	bachmani	lt partial dentary w/ p3-m2		
LACMP23-28903	RLB-16-21	A1/L7	Mammalia	Lagomorpha	Leporidae		Sylvilagus	cf. audubonii	rt dentary frag w/ p3-p4		
LACMP23-28904	RLB-16-22	A1/L7	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp.	upper rt P2		
LACMP23-28905	RLB-16-23	A1/L7	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp.	partial lower rt tooth		
LACMP23-28906	RLB-16-24	A1/L7	Mammalia	Rodentia	Sciuridae				tooth frag	roots only	
LACMP23-28907	RLB-16-25	A1/L7	Mammalia	Rodentia	Sciuridae		Otospermophilus	beecheyi	lower lt m1	worn occlusal surface	
LACMP23-28908	RLB-16-26	A1/L7	Mammalia	Rodentia	Sciuridae		Otospermophilus	beecheyi	lower lt p4		
	RLB-16-27	A1/L7	Mammalia	Carnivora	Canidae		Canis	cf. latrans	upper rt P3 frag		
	RLB-16-28	A1/L6	Mammalia	Carnivora	Canidae		Canis	cf. latrans	upper lt I2		
LACMP23-28909	RLB-16-29	A1/L6	Mammalia	Carnivora	Canidae				lower rt posterior premolar frag		9/26/2018
	RLB-16-30	A1/L6	Mammalia	Carnivora	Canidae		Canis	cf. latrans	upper lt P3 frag		
LACMP23-28910	RLB-16-31	A1/L6	Mammalia	Rodentia	Cricetidae		Microtus	sp.	lower rt m2		
LACMP23-28911	RLB-16-32	A1/L6	Mammalia	Lagomorpha	Leporidae		Sylvilagus	audubonii	lower lt p3		
LACMP23-28912	RLB-16-33	A1/L6	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp.	lower rt p3	enamel band poorly preserved	
LACMP23-28913	RLB-16-34	A1/L6	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp.	rt dentary frag w/ tooth		
LACMP23-28914	RLB-16-35	A1/L6	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp.	lower rt tooth		
LACMP23-28915	RLB-16-36	A1/L6	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp.	lower lt tooth		
LACMP23-28916	RLB-16-37	A1/L6	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp.	lower rt tooth		
LACMP23-28917	RLB-16-38	A1/L6	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp.	lower rt tooth		
LACMP23-28918	RLB-16-39	A1/L6	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp.	partial lower rt tooth		
LACMP23-28919	RLB-16-40	A1/L6	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp.	tooth frag		
LACMP23-28920	RLB-16-41	A1/L6	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp.	lower rt tooth		
LACMP23-28921	RLB-16-42	A1/L5	Mammalia	Lagomorpha	Leporidae		cf. Sylvilagus		lower lt tooth	big for Sylvilagus	
LACMP23-28922	RLB-16-43	A1/L5	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp.	lower lt tooth		
LACMP23-29233	RLB-16-44	A2/L4	Mammalia	Carnivora			Canis	cf. latrans	upper rt I1		
LACMP23-29234	RLB-16-45	A2/L4	Mammalia	Rodentia	Cricetidae		Microtus	sp.	anterior lt dentary frag		
LACMP23-29235	RLB-16-46	A2/L4	Mammalia	Rodentia	Cricetidae		Microtus	sp.	upper rt M2		
LACMP23-29236	RLB-16-47	A2/L4	Mammalia	Rodentia	Cricetidae		Microtus	sp.	upper lt M3 frag		
LACMP23-29237	RLB-16-48	A2/L4	Mammalia	Rodentia	Cricetidae		cf. Microtus		molar frag		
LACMP23-29238	RLB-16-49	A2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	audubonii	lower rt p3	Juv	9/13/2018
LACMP23-29239	RLB-16-50	A2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp.	lt dentary frag with tooth		
LACMP23-29240	RLB-16-51	A2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp.	tooth frag		
LACMP23-29241	RLB-16-52	A2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp.	juv. upper rt tooth		
LACMP23-29242	RLB-16-53	A2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp.	upper tooth		
LACMP23-29243	RLB-16-54	A2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp.	upper tooth frag		
LACMP23-29244	RLB-16-55	A2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp.	lower m3		
LACMP23-29245	RLB-16-56	A2/L4	Mammalia	Rodentia	Cricetidae				upper M3		
LACMP23-29246	RLB-16-57	A2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			lower rt m2		2/27/2019
LACMP23-29247	RLB-16-58	A2/L4	Mammalia	Rodentia	?Geomyidae				lower p4 frag		2/27/2019
LACMP23-29248	RLB-16-59	B1/L9	Mammalia	Lagomorpha	Leporidae		Sylvilagus	audubonii	lower lt p3		
LACMP23-29249	RLB-16-60	C4/L4	Mammalia	Rodentia	Geomyidae		Thomomys	sp.	lower lt m3		2/27/2019
LACMP23-29250	RLB-16-61	B2/L6	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp.	lt maxilla frag w/ partial p3 and p4		
LACMP23-29251	RLB-16-62	B1/L4	Mammalia	Rodentia	Cricetidae		Microtus	sp.	partial upper rt M3		
LACMP23-29252	RLB-16-63	C3/L3	Mammalia	Rodentia	Cricetidae		Microtus	sp.	upper lt M2		
LACMP23-29253	RLB-16-64	B1/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp.	posterior dentary frag		
