Museum_Number	UCM_Number	Canister	Class	Order	Family	Subfamily	Genus	Species	Element_original	Notes	Last ID revision	include.in.diversity.stats	Old IDs	order	genus	species	element
LACMP23-31542	NSF-17-42	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus 	sp	upper rt M2			y					
LACMP23-31543	NSF-17-43	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus 	sp	partial upper rt M2			y					
LACMP23-31544	NSF-17-44	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	cf Peromyscus	sp	rt dentary			y					
LACMP23-31545	NSF-17-45	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	cf Peromyscus	sp	rt dentary			y					
LACMP23-31546	NSF-17-46	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	cf Peromyscus	sp	rt dentary			y					
LACMP23-31547	NSF-17-47	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	cf Peromyscus	sp	rt dentary			y					
LACMP23-31548	NSF-17-48	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	cf Peromyscus	sp	partial lt dentary			y					
LACMP23-31549	NSF-17-49	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			partial lt dentary			y					
LACMP23-31550	NSF-17-50	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			dentary frag			y					
LACMP23-31551	NSF-17-51	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	cf P. maniculatus	upper lt M1	prominent accessory lophs	8/6/2019	y					
LACMP23-31552	NSF-17-52	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			partial molar	poorly preserved, digested?		y					
LACMP23-31553	NSF-17-53	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			molar frag			y					
LACMP23-31554	NSF-17-54	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			molar (lower lt m2?)	poorly preserved, digested?		y					
LACMP23-31555	NSF-17-55	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			molar frag	poorly preserved, digested?		y					
LACMP23-31556	NSF-17-56	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			upper M3	poorly preserved		y					
LACMP23-31557	NSF-17-57	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			upper rt M2		1/29/2019	y					
LACMP23-31558	NSF-17-58	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			lower lt m2		1/29/2019	y					
LACMP23-31559	NSF-17-59	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m1	grade 0	8/6/2019	y					
LACMP23-31560	NSF-17-60	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			lower rt m2		1/29/2019	y					
LACMP23-31561	NSF-17-61	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	?Peromyscus	sp	lower rt m1	small anteroconid, grade 0, narrow cusps	8/6/2019	y					
LACMP23-31562	NSF-17-62	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			lower rt m1 	broken (3 frags)		y					
LACMP23-31563	NSF-17-63	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper lt M1	surface covered w/ matrix	8/6/2019	y					
LACMP23-31564	NSF-17-64	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae			lower lt m2		1/29/2019	y					
LACMP23-31565	NSF-17-65	C3/L5	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m1	grade 2, size intermidate b/w Pcal and Pman (~Ptruei?)	8/6/2019	y					
