Museum_Number	UCM_Number	Canister	Class	Order	Family	Subfamily	Genus	Species	Element_original	Notes	Last ID revision	include.in.diversity.stats	Old IDs	order	genus	species	element
LACMP23-31883	NSF-17-384	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	partial upper lt M1			y					
LACMP23-31884	NSF-17-385	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m2			y					
LACMP23-31885	NSF-17-386	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m3			y					
LACMP23-31886	NSF-17-387	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m3			y					
LACMP23-31887	NSF-17-388	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	cf P. californicus	upper lt M1	~Pcal sized	2/20/2020	y					
LACMP23-31888	NSF-17-389	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper rt M1	Surface covered	8/6/2019	y					
LACMP23-31889	NSF-17-390	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper rt M1	Small accessory loph, worn	8/6/2019	y					
LACMP23-31890	NSF-17-391	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m1	grade 0	8/6/2019	y					
LACMP23-31891	NSF-17-392	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m1	grade 0	8/6/2019	y					
LACMP23-31892	NSF-17-393	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m1	grade 0	8/6/2019	y					
LACMP23-31893	NSF-17-394	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m1	grade 0, worn	8/6/2019	y					
LACMP23-31894	NSF-17-395	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper rt M1		8/6/2019	y					
LACMP23-31895	NSF-17-396	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m1	grade 2, slighly larger than Pman	8/6/2019	y					
LACMP23-31896	NSF-17-397	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m1	grade 0	8/6/2019	y					
LACMP23-31897	NSF-17-398	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			lower rt m2		1/29/2019	y					
LACMP23-31898	NSF-17-399	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			lower rt m1	small anteroconid, size intermediate b/w Pman and Reithro	8/6/2019	y					
LACMP23-31899	NSF-17-400	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m1	grade 0, surface covered	8/6/2019	y					
LACMP23-31900	NSF-17-401	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m1			y					
LACMP23-31901	NSF-17-402	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			upper lt M2		1/29/2019	y					
LACMP23-31902	NSF-17-403	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	cf P. maniculatus	upper rt M1	prominent accessory loph	7/19/2020	y					
LACMP23-31903	NSF-17-404	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			lower rt m2		1/29/2019	y					
LACMP23-31904	NSF-17-405	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			lower rt m1	Surface covered; Pero or Onychomys	8/6/2019	y					
LACMP23-31905	NSF-17-406	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			lower lt m2		1/29/2019	y					
LACMP23-31906	NSF-17-407	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			lower lt m2		1/29/2019	y					
LACMP23-31907	NSF-17-408	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			lower rt m2		1/29/2019	y					
LACMP23-31908	NSF-17-409	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			lower lt m2		1/29/2019	y					
LACMP23-31909	NSF-17-410	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			lower rt m2 	worn	1/29/2019	y					
LACMP23-31910	NSF-17-411	D2/L4	Mammalia	Rodentia	?Heteromyidae				upper molar	very worn 		y					
LACMP23-31911	NSF-17-412	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			upper lt M1	Surface covered, Pero or Onychomys	8/6/2019	y					
LACMP23-31912	NSF-17-413	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			upper rt M2		1/29/2019	y					
LACMP23-31913	NSF-17-414	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			lower lt m1	surface covered w/ matrix, small anterconid, grade 0	8/6/2019	y					
LACMP23-31914	NSF-17-415	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m1	surface covered, grade 2?	8/6/2019	y					
LACMP23-31915	NSF-17-416	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			lt dentary	no teeth		y					
LACMP23-31916	NSF-17-417	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			rt posterior dentary frag			y					
LACMP23-31917	NSF-17-418	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			lt dentary frag	no teeth		y					
LACMP23-31918	NSF-17-419	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	rt dentary w/ m2 and m3	slighly larger and more robust than Pman comparative specimen	8/6/2019	y					
LACMP23-31919	NSF-17-420	D2/L4	Mammalia	Rodentia	Cricetidae	?Neotominae			lt anterior dentary frag			y					
LACMP23-31920	NSF-17-421	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	cf P. maniculatus	lt dentary w/ m2		07/19/2020	y					
LACMP23-31921	NSF-17-422	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			lt dentary frag	no teeth		y					
LACMP23-31922	NSF-17-423	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	?Peromyscus	sp	lt dentary with worn m2	~Pman sized	8/6/2019	y					
LACMP23-31923	NSF-17-424	D2/L4	Mammalia	Rodentia	Cricetidae	?Neotominae			lt maxillary frag			y					
LACMP23-31924	NSF-17-425	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			anterior lt dentary frag	no teeth		y					
LACMP23-31925	NSF-17-426	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			lower lt m1	broken (3 frags)		y					
LACMP23-31926	NSF-17-427	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			lower lt m2		1/29/2019	y					
LACMP23-31927	NSF-17-428	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m1	grade 2	8/6/2019	y					
LACMP23-31928	NSF-17-429	D2/L4	Mammalia	Rodentia	Heteromyidae	Perognathinae			upper lt M1/M2		1/29/2019	y					
LACMP23-31929	NSF-17-430	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			upper rt M2		1/29/2019	y					
LACMP23-31930	NSF-17-431	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			upper rt M2	occlusal surface covered w/ matrix	1/29/2019	y					
LACMP23-31931	NSF-17-432	D2/L4	Mammalia	Rodentia	Heteromyidae	Perognathinae			upper rt M1/M2		1/29/2019	y					
LACMP23-31932	NSF-17-433	D2/L4	Mammalia	Rodentia	Cricetidae	?Neotominae			rt maxillary frag			y					
LACMP23-31933	NSF-17-434	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			upper lt M2	worn	1/29/2019	y					
LACMP23-31934	NSF-17-435	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper lt M1	Small accessory loph	8/6/2019	y					
LACMP23-31935	NSF-17-436	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			upper lt M2		1/29/2019	y					
LACMP23-31936	NSF-17-437	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	cf P. maniculatus	upper rt M1	prominent accessory loph	7/19/2020	y					
LACMP23-31937	NSF-17-438	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper lt M1		8/6/2019	y					
LACMP23-31938	NSF-17-439	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			lower rt m2		1/29/2019	y					
LACMP23-31939	NSF-17-440	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	cf Reithrodontomys	megalotis	upper lt M1	surface covered	7/19/2020	y					
LACMP23-31940	NSF-17-441	D2/L4	Mammalia	Rodentia	Cricetidae	?Neotominae			rt maxillary frag			y					
LACMP23-31941	NSF-17-442	D2/L4	Mammalia	Rodentia	Cricetidae	?Neotominae			lt dentary frag			y					
LACMP23-31942	NSF-17-443	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			rt dentary frag	no teeth		y					
LACMP23-31943	NSF-17-444	D2/L4	Mammalia	Rodentia	Cricetidae	?Neotominae			lt maxillary frag			y					
LACMP23-31944	NSF-17-445	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	?Peromyscus	sp	lt M1 frag		8/6/2019	y					
LACMP23-31945	NSF-17-446	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			upper rt M2	surface covered w/ matrix	1/29/2019	y					
LACMP23-31946	NSF-17-447	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			upper lt M2	surface partially covered w/ matrix	1/29/2019	y					
LACMP23-31947	NSF-17-448	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	cf Microtus	sp	rt anterior dentary frag			y					
LACMP23-31948	NSF-17-449	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	cf Microtus	sp	dentary frag			y					
LACMP23-31949	NSF-17-450	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-31950	NSF-17-451	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-31951	NSF-17-452	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-31952	NSF-17-453	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-31953	NSF-17-454	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-31954	NSF-17-455	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-31955	NSF-17-456	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
no specimen - not cataloged	NSF-17-457	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			lower lt m2	worn		n					
LACMP23-31956	NSF-17-458	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			upper lt M2		1/29/2019	y					
LACMP23-31957	NSF-17-459	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	?Peromyscus	sp	upper lt M1	surface covered	8/6/2019	y					
LACMP23-31958	NSF-17-460	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			lower rt m2	surface covered w/ matrix		y					
LACMP23-31959	NSF-17-461	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m1	grade 0, worn	8/6/2019	y					
LACMP23-31960	NSF-17-462	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			lt dentary frag			y					
LACMP23-31961	NSF-17-463	D2/L4	Mammalia	Rodentia	Cricetidae	?Neotominae			maxillary frag			y					
LACMP23-31962	NSF-17-464	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			lt maxillary frag			y					
LACMP23-31963	NSF-17-465	D2/L4	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	lower lt m2			y					
LACMP23-31964	NSF-17-466	D2/L4	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	lower lt m1			y					
LACMP23-31965	NSF-17-467	D2/L4	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	lower rt m2			y					
LACMP23-31966	NSF-17-468	D2/L4	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	upper lt M1/M2			y					
LACMP23-31967	NSF-17-469	D2/L4	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	upper lt P4			y					
LACMP23-31968	NSF-17-470	D2/L4	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	upper rt P4			y					
LACMP23-31969	NSF-17-471	D2/L4	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	upper rt M3			y					
LACMP23-31970	NSF-17-472	D2/L4	Mammalia	Rodentia	Sciuridae	Xerinae			upper tooth frag			y					
LACMP23-31971	NSF-17-473	D2/L4	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	upper rt P4			y					
LACMP23-31972	NSF-17-474	D2/L4	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	upper rt P4			y					
LACMP23-31973	NSF-17-475	D2/L4	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	upper rt M3			y					
LACMP23-31974	NSF-17-476	D2/L4	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	upper lt P4	broken in two frags		y					
LACMP23-31975	NSF-17-477	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Neotoma	sp	upper rt M1			y					
LACMP23-31976	NSF-17-478	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Neotoma	macrotis	lower lt m1		1/29/2019	y					
LACMP23-31977	NSF-17-479	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Neotoma	sp	upper rt M1			y					
LACMP23-31978	NSF-17-480	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Neotoma	sp	upper lt M1 frag			y					
LACMP23-31979	NSF-17-481	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Neotoma	sp	upper lt M2			y					
LACMP23-31980	NSF-17-482	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Neotoma	sp	lower lt m1 frag			y					
LACMP23-31981	NSF-17-483	D2/L4	Mammalia	Rodentia	Geomyidae	Thomomyinae	Thomomys	?bottae	lower lt p4		7/19/2020	y					
LACMP23-31982	NSF-17-484	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Neotoma	sp	upper lt M3			y					
LACMP23-31983	NSF-17-485	D2/L4	Mammalia	Rodentia	Geomyidae	Thomomyinae	?Thomomys	sp	P4/p4			y					
LACMP23-31984	NSF-17-486	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Neotoma	sp	upper lt M3			y					
LACMP23-31985	NSF-17-487	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	?Neotoma	sp	molar frag			y					
LACMP23-31986	NSF-17-488	D2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	?Neotoma	sp	molar frag			y					
LACMP23-31987	NSF-17-489	D2/L4	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	?Dipodomys	sp	lower rt p4 frag	juv	1/17/2019	y			Neotoma	sp.	rt /m1 frag
LACMP23-31988	NSF-17-490	D2/L4	Mammalia	Rodentia	Heteromyidae	Perognathinae			upper (lt?) P4		1/29/2019	y					
LACMP23-31989	NSF-17-491	D2/L4	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	?Dipodomys	sp	lower p4			y					
LACMP23-31990	NSF-17-492	D2/L4	Mammalia	Rodentia	Heteromyidae	Perognathinae			lower rt m1/m2		1/29/2019	y					
LACMP23-31991	NSF-17-493	D2/L4	Mammalia	Rodentia	Heteromyidae/Geomyidae				tooth	juv		y					
LACMP23-31992	NSF-17-494	D2/L4	Mammalia	Rodentia	Heteromyidae/Geomyidae				upper P4	juv		y					
LACMP23-31993	NSF-17-495	D2/L4	Mammalia	Rodentia	Heteromyidae	Perognathinae			upper molar (rt M3?)		1/29/2019	y					
Not Cataloged	NSF-17-496	D2/L4	Mammalia						???			n					
LACMP23-31994	NSF-17-497	D2/L4	Mammalia	Rodentia	?Heteromyidae				lower p4		1/29/2019	y					
LACMP23-31995	NSF-17-498	D2/L4	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	?Dipodomys	sp	maxillary frag			y					
LACMP23-31996	NSF-17-499	D2/L4	Mammalia	Rodentia	?Geomyidae				upper M3 frag		1/29/2019	y					
LACMP23-31997	NSF-17-500	D2/L4	Mammalia	Rodentia	?Geomyidae				upper M3 frag		1/29/2019	y					
LACMP23-31998	NSF-17-501	D2/L4	Mammalia	Rodentia	Cricetidae	?Neotominae			maxillary frag			y					
Not Cataloged	NSF-17-502	D2/L4	Mammalia						???			n					
Not Cataloged	NSF-17-503	D2/L4							???			n					
LACMP23-31999	NSF-17-504	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-32000	NSF-17-505	D2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-32001	NSF-17-506	D2/L4	Mammalia	Rodentia	Heteromyidae/Geomyidae				tooth frag			y					
LACMP23-32002	NSF-17-507	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	californicus	lower lt m1			y					
LACMP23-32003	NSF-17-508	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m1		5/17/2020	y					
LACMP23-32004	NSF-17-509	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	californicus	lower rt m1			y					
LACMP23-32005	NSF-17-510	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m1		5/17/2020	y					
LACMP23-32006	NSF-17-511	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	californicus	lower lt m1			y					
LACMP23-32007	NSF-17-512	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M1			y					
LACMP23-32008	NSF-17-513	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	partial lower rt m1			y					
LACMP23-32009	NSF-17-514	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M1			y					
LACMP23-32010	NSF-17-515	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	californicus	lower lt m1			y					
LACMP23-32011	NSF-17-516	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m1		5/17/2020	y					
LACMP23-32012	NSF-17-517	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m1 frag	worn		y					
LACMP23-32013	NSF-17-518	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m1		5/17/2020	y					
LACMP23-32014	NSF-17-519	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m1	strange looking, juv?		y					
LACMP23-32015	NSF-17-520	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper lt M1			y					
LACMP23-32016	NSF-17-521	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper lt M1			y					
LACMP23-32017	NSF-17-522	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper lt M1			y					
LACMP23-32018	NSF-17-523	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper lt M3			y					
LACMP23-32019	NSF-17-524	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M2	worn		y					
LACMP23-32020	NSF-17-525	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper lt M2			y					
LACMP23-32021	NSF-17-526	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper lt M1	strange looking, juv?		y					
LACMP23-32022	NSF-17-527	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M2			y					
LACMP23-32023	NSF-17-528	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M3			y					
LACMP23-32024	NSF-17-529	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper lt M2			y					
LACMP23-32025	NSF-17-530	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M2			y					
LACMP23-32026	NSF-17-531	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M2			y					
LACMP23-32027	NSF-17-532	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper lt M2			y					
LACMP23-32028	NSF-17-533	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m3			y					
LACMP23-32029	NSF-17-534	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper lt M2			y					
LACMP23-32030	NSF-17-535	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper lt M2	strange looking, juv?		y					
LACMP23-32031	NSF-17-536	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-32032	NSF-17-537	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m2	strange looking, juv?		y					
LACMP23-32033	NSF-17-538	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper lt M2			y					
LACMP23-32034	NSF-17-539	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m2			y					
LACMP23-32035	NSF-17-540	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-32036	NSF-17-541	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m2	broken (2 frags)		y					
LACMP23-32037	NSF-17-542	C2/L4	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth			y					
LACMP23-32038	NSF-17-543	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m1		5/17/2020	y					
LACMP23-32039	NSF-17-544	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-32040	NSF-17-545	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m2			y					
LACMP23-32041	NSF-17-546	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-32042	NSF-17-547	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m3			y					
LACMP23-32043	NSF-17-548	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M2	strange looking, juv?		y					
LACMP23-32044	NSF-17-549	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m3			y					
LACMP23-32045	NSF-17-550	B2/L5	Mammalia	Lagomorpha	Leporidae		Sylvilagus	bachmani	lt anterior dentary frag w/ p3			y					
LACMP23-32046	NSF-17-551	C2/L3	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	rt partial maxilla w/ P4			y					
LACMP23-32047	NSF-17-552	B2/L6	Mammalia	Lagomorpha	Leporidae		Sylvilagus	audubonii	rt dentary frag w/ p3-m1			y					
LACMP23-32048	NSF-17-553	B2/L6	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus 	?beecheyi	rt maxilla	no teeth		y					
LACMP23-32049	NSF-17-554	B2/L6	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus 	?beecheyi	rt dentary	no teeth		y					
LACMP23-32050	NSF-17-555	D2/L6	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus 	?beecheyi	lt dentary	no teeth		y					
LACMP23-33773	NSF-17-556	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lt anterior dentary frag	no teeth		y	anterior lt dentary w /i				
LACMP23-33774	NSF-17-557	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lt anterior dentary frag	no teeth		y					
LACMP23-33775	NSF-17-558	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m2			y					
LACMP23-33776	NSF-17-559	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper lt M2			y					
LACMP23-33777	NSF-17-560	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m3			y					
LACMP23-33778	NSF-17-561	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m3			y					
LACMP23-33779	NSF-17-562	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m3			y					
LACMP23-33780	NSF-17-563	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper molar frag			y					
LACMP23-33781	NSF-17-564	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-33782	NSF-17-565	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-33783	NSF-17-566	C2/L4	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-33784	NSF-17-567	C2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m1	grade 0	8/6/2019	y					
LACMP23-33785	NSF-17-568	C2/L4	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	lt dp4		8/6/2019	y					
LACMP23-33786	NSF-17-569	C2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	?Peromyscus	sp	lower rt m1	worn, grade 0	8/6/2019	y					
LACMP23-33787	NSF-17-570	C2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m1	grade 0	8/6/2019	y					
LACMP23-33788	NSF-17-571	C2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			lower lt m2		1/29/2019	y					
LACMP23-33789	NSF-17-572	C2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			lower lt m2		1/29/2019	y					
LACMP23-33790	NSF-17-573	C2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			lower rt m2		1/29/2019	y					
LACMP23-33791	NSF-17-574	C2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			lower rt m2		1/29/2019	y					
LACMP23-33792	NSF-17-575	C2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m1	grade 0	8/6/2019	y					
LACMP23-33793	NSF-17-576	C2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper rt M1	surface covered	8/6/2019	y					
LACMP23-33794	NSF-17-577	C2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			lower lt m2		1/29/2019	y					
LACMP23-33795	NSF-17-578	C2/L4	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m1	grade 0	8/6/2019	y					
LACMP23-33796	NSF-17-579	C2/L4	Mammalia	Rodentia	Cricetidae	Neotominae			lower lt m2		1/29/2019	y					
